case_name,complaint_description,suggested_labels,suggested_workflow,cluster_id
CASE-08901: Threat against inspecting engineer (rephrased),The engineer inspecting the 5th Cross Street construction site was warned to 'watch himself' unless the case is closed.,Housing & Urban Development + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-08902: Garbage complaint,Garbage truck has skipped Market Yard area for 2 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08903: Power Cut complaint (rephrased),"Electricity supply to Ward 3 has been unreliable, with 3 unscheduled outages recorded this week alone.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-08904: Stray Dogs complaint (rephrased),"Residents of Model Colony are increasingly worried about an aggressive stray dog pack near the local park, request sterilization drive.",Animal Husbandry / Municipal (Strays),standard_route -> assign_L1 -> SLA_days,
CASE-08905: Property tax refund delay (rephrased),"The refund for excess property tax paid on my Station Road property was approved but not yet credited, 45 days and counting.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-08906: Women's safety near transit stop,"Repeated harassment of women reported near the bus stop in Sector 12, especially after dark.",Police Department + Women & Child Welfare,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-08907: Noise complaint (rephrased),"A function in West Mambalam is running loudspeakers well past the permitted night-time cutoff, disturbing residents.",Police Department,standard_route -> assign_L1 -> SLA_days,
CASE-08908: Euphemistic bribery,The meter reader said to just pay the 'processing charge' of Rs 500 in cash and the file will clear same day.,Transport / RTO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-08909: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Ashok Nagar in 5 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08910: Power Cut complaint,"Frequent unscheduled power cuts in Canal Bank Road, sometimes 6 times a day.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-08911: Garbage complaint,Garbage truck has skipped Ward 27 for 8 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08912: Pension release delay,"Pension application pending for 70 days with no update, resident of Ambattur, elderly applicant.",Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-08913: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Hospital Road, non-functional for approximately 7 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-08914: Encroachment blocking emergency access,Illegally parked vehicles and stalls near Purasaiwalkam narrow the lane so much that an ambulance could not pass last week.,Police Department + Municipal Corporation - Sanitation,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-08915: Distress signal buried in farmer debt grievance (rephrased),"It's been 4 months since the promised loan waiver for farmers near Perambur, my crop has failed again and I feel completely cornered.",Revenue Department / Land Records + Banking / Financial Services,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-08916: Pesticide spraying near school (rephrased),Children at the Thiruvanmiyur school report coughing and irritation from pesticide spraying on the adjacent farm during class hours.,Environment / Pollution Control + Education Department,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-08917: Suspected outbreak / contamination cluster (case 1 of 3),My son ate an orange from a juice shop near the corporation school in Perungudi and has been experiencing fever and rash since last night.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-038
CASE-08918: Distress signal buried in pension grievance,"I've been trying to get my pension released for 3 months, going office to office in Ring Road junction, no one helps. I genuinely don't know how much longer I can keep doing this.",Pension / EPFO,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-08919: Certificate delay,"Applied for an income certificate 127 days ago for admission purposes, still not issued.",Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-08920: Power Cut complaint,"Frequent unscheduled power cuts in Periyar Nagar, sometimes 5 times a day.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-08921: Water Tanker complaint,"Scheduled water tanker did not come to Vivekananda Street on the assigned day, 6 days without supply now.",Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08922: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Ambattur, non-functional for approximately 22 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-08923: Suspected outbreak / contamination cluster (case 1 of 3),Two families near Ward 12 report stomach cramps and diarrhea after eating from a juice shop.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-005
CASE-08924: Power Cut complaint,"Frequent unscheduled power cuts in Perambur, sometimes 5 times a day.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-08925: Water Tanker complaint,"Scheduled water tanker did not come to Indira Nagar on the assigned day, 8 days without supply now.",Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08926: Direct threat to official (rephrased),"The ward officer handling my Shastri Nagar water case should be careful — I know his address, and my patience is running out.",Water Supply / Sanitation + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-08927: Streetlight complaint,"Streetlight near Lake View Road has been off for 4 days, the road is very dark at night.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-08928: Toilet complaint (rephrased),"The public toilet facility in Ward 15 has been without running water for days, cleanliness is very poor.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08929: Drain complaint,Drain near Sholinganallur is clogged and overflowing onto the street after light rain.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08930: Bribe for faster pension disbursal (rephrased),An elderly resident of Adyar was told by the ward officer that Rs 2500 would help move the pension file faster.,Pension / EPFO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-08931: Park complaint (rephrased),"The community park in Temple Street has been left unmaintained — broken play equipment, tall grass, not cleaned in 25 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08932: Bribe for faster pension disbursal (rephrased),An elderly resident of Thiruvanmiyur was told by the sub-inspector that Rs 15000 would help move the pension file faster.,Pension / EPFO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-08933: Animal attack in public area,"A stray cattle attack injured a pedestrian near Hillside Colony market yesterday, second such incident this month.",Animal Husbandry / Municipal (Strays),priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-08934: Water Tanker complaint,"Scheduled water tanker did not come to Egmore on the assigned day, 22 days without supply now.",Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08935: Scholarship delay (rephrased),"My scholarship was approved 125 days ago but the amount has still not reached my account, fee deadline is close.",Education Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-08936: Fire response severely delayed,"Fire broke out in a residential building in Royapettah; fire engine took over 40 minutes to arrive, two people injured.",Fire & Emergency Services,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
CASE-08937: Ration card correction,"Requested correction on ration card (address change) for Cross Cut Road household filed 99 days ago, still not processed.",Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-08938: Ambiguous jurisdiction - garbage vs drainage (rephrased),Waste blocking the stormwater drain in Ward 33 seems to overlap both garbage collection and drainage maintenance responsibilities.,Municipal Corporation - Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-08939: Distress signal buried in unemployment grievance,"I've been out of work for 7 months in Purasaiwalkam, applied everywhere through the job scheme, nothing has come through and I feel like a burden on my family.",Education Department,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-08940: Noise complaint (rephrased),"A function in Sholinganallur is running loudspeakers well past the permitted night-time cutoff, disturbing residents.",Police Department,standard_route -> assign_L1 -> SLA_days,
CASE-08941: Park complaint,Children's park in Block A colony has broken swings and overgrown grass for over 5 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08942: Vague hostile language,"People like that sub-registrar's clerk in Ward 3 should be taught a lesson one day, this delay has gone too far.",Multiple Departments (Split Required),threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-08943: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Industrial Estate Road, non-functional for approximately 8 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-08944: Pesticide spraying near school,"Farm adjacent to the school in Hospital Road sprays pesticide during school hours, children reporting coughing and irritation.",Environment / Pollution Control + Education Department,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-08945: Bus Delay complaint,Bus route serving Lakshmi Nagar is consistently 3 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-08946: Park complaint,Children's park in Madipakkam has broken swings and overgrown grass for over 10 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08947: Distress signal buried in unemployment grievance,"I've been out of work for 8 months in Railway Colony, applied everywhere through the job scheme, nothing has come through and I feel like a burden on my family.",Education Department,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-08948: Parking complaint,Vehicles parked illegally on the footpath near Sector 9 market block pedestrian access.,Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-08949: Distress signal buried in medical bill dispute,"I cannot afford my mother's treatment at the Vivekananda Street hospital and they won't budge, I feel completely hopeless about what happens next.",Health Department / Hospital,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-08950: Streetlight complaint,"Streetlight near Green Park Layout has been off for 25 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-08951: Animal attack in public area (rephrased),"For the second time this month, a stray cattle attack near T Nagar market has left a pedestrian injured.",Animal Husbandry / Municipal (Strays),priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-08952: Noise complaint,Loudspeaker from a commercial event in 5th Cross Street continuing past permitted hours.,Police Department,standard_route -> assign_L1 -> SLA_days,
CASE-08953: Bus Delay complaint,Bus route serving Main Bazaar Road is consistently 5 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-08954: Suspicious identical wording (rephrased),"Several accounts filed complaints against the same Ward 3 shopkeeper using identical wording, all on the same day.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-08955: Toilet complaint,Public toilet block in Temple Street has no water supply and is unhygienic.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08956: Distress signal buried in farmer debt grievance,"My crop failed again this season near Sholinganallur and the loan waiver I was promised 2 months ago never came, I don't know how to face my family anymore.",Revenue Department / Land Records + Banking / Financial Services,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-08957: Ration card correction (rephrased),My ration card address-update request from Saidapet has been sitting unprocessed for 56 days now.,Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-08958: Garbage complaint (rephrased),"Waste not collected in Sholinganallur — this is the 8th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08959: Power Cut complaint (rephrased),"Electricity supply to Vadapalani has been unreliable, with 4 unscheduled outages recorded this week alone.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-08960: Suspected outbreak / contamination cluster (case 1 of 3),My son ate an orange from a small eatery near the local school in Municipal Colony and has been experiencing vomiting since last night.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-024
CASE-08961: Distress signal buried in farmer debt grievance,"My crop failed again this season near Main Bazaar Road and the loan waiver I was promised 8 months ago never came, I don't know how to face my family anymore.",Revenue Department / Land Records + Banking / Financial Services,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-08962: Pension release delay (rephrased),It has been 63 days since my pension file was submitted from Block C colony and there has been no communication on its status.,Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-08963: Threat against inspecting engineer (rephrased),The engineer inspecting the Triplicane construction site was warned to 'watch himself' unless the case is closed.,Housing & Urban Development + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-08964: Repeated informal demand,"The revenue inspector in Industrial Estate Road asked for a cash 'tip' of about Rs 50000 before releasing my connection, not the first such demand.",Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-08965: Stray Dogs complaint,Pack of stray dogs near Block C colony park has been aggressive towards children lately.,Animal Husbandry / Municipal (Strays),standard_route -> assign_L1 -> SLA_days,
CASE-08966: Drain complaint,Drain near Periyar Nagar is clogged and overflowing onto the street after light rain.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08967: Bribe for approval (rephrased),An unofficial payment of roughly Rs 12000 was suggested by the revenue inspector to push my Ring Road junction application through.,Public Distribution System (Ration) + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-08968: Parking complaint (rephrased),"Footpaths near Hillside Colony market are constantly obstructed by illegally parked vehicles, pedestrians forced onto the road.",Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-08969: Euphemistic bribery (rephrased),It was implied by the meter reader that a Rs 30000 'facilitation amount' would get my paperwork cleared immediately.,Transport / RTO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-08970: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Madipakkam, non-functional for approximately 17 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-08971: Water Tanker complaint,"Scheduled water tanker did not come to Pallavaram on the assigned day, 9 days without supply now.",Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08972: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Nungambakkam in 22 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08973: Bundled multi-issue complaint (rephrased),"Several things at once from Block D colony: no water for 4 days, a broken road outside, an illegal neighboring extension, and my pension still pending.",Multiple Departments (Split Required),structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-08974: Bribe for faster pension disbursal,The sub-inspector hinted that a payment of Rs 15000 would 'speed up' pension verification for an elderly applicant in Thiruvanmiyur.,Pension / EPFO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-08975: Power Cut complaint,"Frequent unscheduled power cuts in West Mambalam, sometimes 3 times a day.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-08976: Suspected outbreak / contamination cluster (case 2 of 3),My daughter fell sick after eating fruit bought near the local school in Municipal Colony — vomiting.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-024
CASE-08977: Suspicious identical wording (rephrased),"Several accounts filed complaints against the same Old Ferry Road shopkeeper using identical wording, all on the same day.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-08978: Sarcasm misread as neutral/positive (rephrased),"Ten days without water in Sector 9 and honestly, what a fantastic job managing this has been.",Water Supply / Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-08979: Land mutation delay,Land mutation entry after property purchase in Kodambakkam pending for 100 days at the Tehsildar office.,Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-08980: Threat via social media escalation,"Warned the beat constable in Koyambedu that if the issue isn't fixed, they should be 'ready for what's coming' after I post about them online.",Multiple Departments (Split Required) + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-08981: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Model Colony in 16 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08982: Ambiguous jurisdiction - garbage vs drainage,"Garbage dumped into the drain near Model Colony is blocking water flow, unclear if this is a sanitation issue or a drainage issue.",Municipal Corporation - Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
"CASE-08983: Hospital negligence, patient death","Patient in Madipakkam government hospital was denied timely oxygen supply during an emergency and passed away, family alleges negligence.",Health Department / Hospital,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
CASE-08984: Bus Delay complaint (rephrased),Commuters from Ring Road junction report the morning bus service running 5 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-08985: Bus Delay complaint,Bus route serving Madipakkam is consistently 2 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-08986: Park complaint,Children's park in Gandhi Nagar has broken swings and overgrown grass for over 25 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08987: Pothole complaint,Potholes on the main road near Medavakkam bus stop have worsened after recent rain.,Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-08988: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Guindy in 22 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08989: Bribe for faster pension disbursal (rephrased),An elderly resident of Cross Cut Road was told by the RTO agent that Rs 5000 would help move the pension file faster.,Pension / EPFO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-08990: Power Cut complaint,"Frequent unscheduled power cuts in Shastri Nagar, sometimes 6 times a day.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-08991: Ambiguous jurisdiction overlap,Pothole in Temple Street appears to be caused by a burst water pipe underneath the road surface.,Roads & PWD + Water Supply / Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-08992: Scholarship delay,"Government scholarship approved but not disbursed for 11 days, student needs it for fee payment.",Education Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-08993: Excessive repeat filing (rephrased),"A resident of 5th Cross Street has resubmitted the same streetlight complaint 39 times over two weeks, even after each was acknowledged.",Roads & PWD / Electricity Board,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-08994: Drain complaint,Drain near Egmore is clogged and overflowing onto the street after light rain.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08995: Park complaint,Children's park in Ward 8 has broken swings and overgrown grass for over 20 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08996: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Sector 9 in 6 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-08997: Power Cut complaint,"Frequent unscheduled power cuts in Bharathi Nagar, sometimes 2 times a day.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-08998: Bus Delay complaint (rephrased),Commuters from Nehru Colony report the morning bus service running 3 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-08999: Streetlight complaint,"Streetlight near Sector 12 has been off for 23 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-09000: Scholarship delay,"Government scholarship approved but not disbursed for 35 days, student needs it for fee payment.",Education Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-09001: Pension release delay (rephrased),It has been 94 days since my pension file was submitted from Ward 33 and there has been no communication on its status.,Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-09002: Scholarship delay (rephrased),"My scholarship was approved 82 days ago but the amount has still not reached my account, fee deadline is close.",Education Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-09003: Streetlight complaint,"Streetlight near Railway Colony has been off for 16 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-09004: Bus Delay complaint,Bus route serving Model Colony is consistently 2 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-09005: Suspected outbreak / contamination cluster (case 1 of 3),Several households on Temple Street report vomiting after the municipal water supply resumed following pipeline repair.,Health Department / Hospital,corroboration_clustering -> match_geography_and_time_window -> auto_escalate_public_health_if_2plus_independent_reports -> do_not_wait_for_high_volume,OUTBREAK-007
CASE-09006: Garbage complaint,Garbage truck has skipped Sholinganallur for 3 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09007: Rival business defamation pattern (rephrased),"A recurring pattern: every year before festival season, a shop near Perambur gets an 'unsanitary conditions' complaint from the same filer targeting a rival business.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-09008: Pension release delay,"Pension application pending for 119 days with no update, resident of Kamaraj Road, elderly applicant.",Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-09009: Pesticide spraying near school,"Farm adjacent to the school in Railway Colony sprays pesticide during school hours, children reporting coughing and irritation.",Environment / Pollution Control + Education Department,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-09010: Park complaint (rephrased),"The community park in Avadi has been left unmaintained — broken play equipment, tall grass, not cleaned in 7 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09011: Single filer duplicate inflation,"Same citizen has filed the identical parking-fine dispute 41 times across CPGRAMS, a municipal portal, and social media in one week.",Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-09012: Threat via social media escalation,"Warned the revenue inspector in Perungudi that if the issue isn't fixed, they should be 'ready for what's coming' after I post about them online.",Multiple Departments (Split Required) + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-09013: Park complaint (rephrased),"The community park in East Coast Road side lane has been left unmaintained — broken play equipment, tall grass, not cleaned in 6 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09014: Parking complaint (rephrased),"Footpaths near Sector 4 market are constantly obstructed by illegally parked vehicles, pedestrians forced onto the road.",Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-09015: Scholarship delay,"Government scholarship approved but not disbursed for 13 days, student needs it for fee payment.",Education Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-09016: Repeated closure dispute,Same pothole ticket in Nehru Colony marked 'resolved' by the department three times; citizen reopens it three times saying nothing changed.,Roads & PWD,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-09017: Pension release delay (rephrased),It has been 21 days since my pension file was submitted from Airport Road junction and there has been no communication on its status.,Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-09018: Pothole complaint,Potholes on the main road near Main Bazaar Road bus stop have worsened after recent rain.,Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-09019: Certificate delay,"Applied for an income certificate 122 days ago for admission purposes, still not issued.",Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-09020: Noise complaint (rephrased),"A function in Ward 41 is running loudspeakers well past the permitted night-time cutoff, disturbing residents.",Police Department,standard_route -> assign_L1 -> SLA_days,
CASE-09021: Park complaint,Children's park in Mylapore has broken swings and overgrown grass for over 8 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09022: Animal attack in public area,"A stray cattle attack injured a pedestrian near Industrial Estate Road market yesterday, second such incident this month.",Animal Husbandry / Municipal (Strays),priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-09023: Suspicious identical wording (rephrased),"Several accounts filed complaints against the same Perungudi shopkeeper using identical wording, all on the same day.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-09024: Bus Delay complaint (rephrased),Commuters from Purasaiwalkam report the morning bus service running 6 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-09025: Coordinated near-identical complaints,"228 near-identical complaints about a new bus route were filed within 90 minutes using near-identical phrasing, right before a transport policy hearing.",Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-09026: Passport verification delay,Police verification for passport renewal pending 83 days with no field visit yet.,Police Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-09027: Pothole complaint,Potholes on the main road near Hillside Colony bus stop have worsened after recent rain.,Roads & PWD + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09028: Streetlight complaint,"Streetlight near Subhash Nagar has been off for 12 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-09029: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Ambattur in 9 days despite the fixed schedule.,Water Supply / Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09030: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Ring Road junction in 22 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09031: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Perungudi in 17 days despite the fixed schedule.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-09032: Power Cut complaint,"Frequent unscheduled power cuts in Alandur, sometimes 4 times a day.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-09033: Distress signal buried in pension grievance,"I've been trying to get my pension released for 11 months, going office to office in Canal Bank Road, no one helps. I genuinely don't know how much longer I can keep doing this.",Pension / EPFO,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-09034: Distress signal buried in loan grievance,"The bank keeps rejecting my loan restructuring request for my Cross Cut Road shop, I've lost my job and I feel like giving up on everything at this point.",Banking / Financial Services,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
